,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи,"Макс. ПДЗ за 2020 год, дней"
0,0,9885987.261146495,3606102547.770701,3737611464.968153,3692142038.21656,4981792356.687898,629400000.0,4865035031.847134,0.0,276483439.4904459,0.0,3478978343.949044,3577885350.318471,32347554140.12739,26734812101.91083,3603784076.433121,3658633757.961784,10
1,1,29299.36305732484,172845859.8726115,174263694.2675159,173863694.2675159,373843312.1019108,1345859.872611465,377949681.5286624,0.0,5659235.668789809,82392993.63057324,82105095.54140127,164498089.1719745,724126114.6496814,534995541.4012738,87475159.2356688,94110191.08280256,4
2,2,4958598.726114649,1027507643.312102,1233413375.796178,277031210.1910828,837764968.1528662,19644585.98726114,1854768789.808917,0.0,0.0,0.0,115282802.5477707,216409554.1401274,2754207643.312102,2460678980.89172,-645643949.044586,-120721019.1082803,6
3,3,0.0,16362338853.50318,21823241401.27388,5669854777.070064,8830169426.751593,20382165.60509554,18225545222.92993,7705152866.242038,8877770063.694267,1920373248.407644,1333817197.452229,3550095541.401274,18804396178.34395,12726040127.38854,3999298089.171974,4029232484.076433,8
4,4,398726.1146496815,30264612738.8535,120662075159.2357,10521138853.50318,15250298089.17197,595541.4012738853,6407566878.980891,95504385987.26114,98182435668.7898,25736810191.0828,4801099363.057324,31322370700.63694,94097654140.12738,30558275159.23567,49604078343.94904,56221224840.76433,1
5,5,24894904.45859873,39420564331.21019,39925541401.27388,19020166242.03822,31309885987.26115,1983439.49044586,48905205095.5414,2237329299.363057,4169849044.585987,1503112738.853503,16405092356.6879,18160373248.40764,52539207006.36942,15606152866.24204,32952542038.21656,34805550318.47134,21
6,6,441401.2738853503,12484871974.52229,33753598726.11465,8921848407.643312,16602068789.80892,2717197.452229299,810621656.0509554,40571640764.33121,41414824203.82166,1390140127.388535,6442635031.847134,8130221656.050955,65814555414.01273,55555932484.07643,4937961146.496815,5430333121.019108,0
7,7,0.0,27776433.1210191,71534394.9044586,47875159.23566879,133984076.433121,111464.9681528662,160194267.5159236,0.0,737579.6178343949,13996815.2866242,28761146.49681529,44586624.20382165,331110828.0254777,302210191.0828025,12585350.31847134,16619745.22292994,18
8,8,0.0,513924840.7643312,515273885.3503184,82609554.14012739,359727388.5350319,170700.6369426752,429540127.388535,204732484.0764331,216596815.2866242,87840127.38853502,133442038.2165605,228864331.2101911,1157608280.254777,1037101273.88535,53671974.52229299,65621656.05095541,6
9,9,9554.140127388537,27977070.06369426,34759872.61146497,65626751.59235668,156850318.4713376,87898.08917197451,82296178.34394903,0.0,2189171.974522293,0.0,107061783.4394904,107124840.7643312,280462420.3821656,266484076.433121,-31038216.56050955,-28285987.2611465,211
