,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи
0,0,2332484.076433121,4292051592.356688,4379873885.350318,4977054777.070064,6170107006.369427,629400000.0,6881321019.10828,0.0,217473885.3503185,0.0,3333519745.22293,3451185987.261147,27947875159.23567,20583174522.29299,5586340764.33121,5971943312.101911
1,2,18444585.98726115,1063706369.426751,1301417834.394904,371442038.2165605,753777707.0063694,19644585.98726115,1765123566.878981,0.0,5629299.363057325,0.0,173147770.7006369,284442675.1592357,2583063057.324841,2519737579.617834,-113833121.0191083,-355471974.522293
2,4,347770.7006369426,32819191082.80255,125299465605.0955,18609931210.19108,24052113375.79618,595541.4012738853,37517386624.20382,88029357324.84076,90765895541.40128,14481910828.02548,6004639490.44586,21068296815.28662,96299566878.98088,32623360509.55414,141842082165.6051,57368819108.28025
3,5,22221019.10828025,42017635668.78981,42872390445.85987,23999804458.59872,25423777070.06369,1983439.49044586,57236184076.43312,975312738.8535032,3321966878.980892,1959623566.878981,5473999363.057324,7738016560.509554,62492997452.22929,16773621656.05095,42565363694.26752,42814828662.42038
4,6,391719.7452229299,12282856687.89809,20239364331.21019,11932768789.80892,32360966242.03822,2717197.452229299,8976491082.802547,33805408917.19745,34825424840.76433,448028025.477707,8018418471.33758,8798414649.681528,66286513375.79617,52908792356.6879,-565550955.4140127,8212564331.210191
5,7,0.0,24457961.78343949,69405732.48407643,29287898.08917197,103885350.3184713,111464.9681528662,146515286.6242038,0.0,1267515.923566879,636.9426751592356,23868152.86624204,25508280.25477707,267527388.5350318,258507006.3694267,-3733757.961783439,-1681528.662420382
6,8,0.0,451246496.8152866,453460509.5541401,127208280.2547771,388878343.9490446,170700.6369426752,520686624.2038217,193960509.5541401,205937579.6178344,27044585.98726115,78599363.05732484,115714649.6815287,1415543312.101911,1157609554.140127,145849681.5286624,196361783.4394904
7,9,7643.312101910828,13604458.59872611,27966242.03821656,54788535.03184713,80078343.94904459,87898.08917197451,43735668.78980891,0.0,233121.0191082802,0.0,63626114.64968152,64075796.17834394,142420382.1656051,159703184.7133758,-47857961.78343949,-51900000.0
8,12,0.0,49750955.41401274,50117834.39490446,316426114.6496815,580956687.8980892,720382.1656050956,186344585.9872611,117197452.2292994,117584713.3757962,0.0,327145222.9299363,327145222.9299363,531955414.0127388,515578343.9490446,3509554.140127388,16377070.06369427
9,13,0.0,199982802.5477707,5586046496.815287,739163057.3248408,2932430573.248407,170700.6369426752,2186973248.407643,0.0,0.0,0.0,5402819745.22293,6331503821.656051,2004486624.203822,1624494267.515924,162437579.6178344,114150318.4713376
10,14,65605.09554140127,219077070.0636943,219142675.1592357,204323566.8789809,596506369.4267516,396815.2866242038,403301910.8280255,63694267.51592357,63694267.51592357,51110191.08280255,262489808.9171974,348653503.1847134,796622929.9363056,593496815.2866242,17421656.05095541,18495541.40127388
11,17,95541.40127388536,113508280.2547771,114828662.4203822,313897452.2292994,866601910.8280255,7850318.471337579,292817197.4522293,192356687.8980892,192610191.0828025,0.0,486892993.6305732,496002547.7707006,1449078343.949044,1369619745.22293,19023566.87898089,31949681.52866242
12,19,0.0,169560509.5541401,180344585.9872611,172121019.1082802,1679815923.566879,59261146.49681529,1639331210.191083,0.0,12340764.33121019,0.0,199959872.6114649,208488535.0318471,1096045859.872612,933667515.9235668,38816560.50955414,26399363.05732484
13,20,0.0,69506369.42675158,71589171.9745223,63627388.53503185,377774522.2929936,10281528.66242038,401360509.5541401,0.0,8556050.955414012,0.0,31740127.38853503,39446496.81528662,491098089.1719745,384421656.0509554,22975159.23566879,30884713.37579618
14,21,584713.3757961784,120577070.0636943,123277707.0063694,235228025.477707,553989808.9171975,4408280.25477707,350938216.5605096,94018471.3375796,101966242.0382166,123989808.9171975,92821019.10828026,224363057.3248408,797847133.7579618,526808280.2547771,90661783.43949044,83267515.92356688
15,23,3305095.541401274,1591067515.923567,2635228025.477707,6770586624.203821,18393434394.90446,170904458.5987261,6446147770.700637,100977070.0636943,2080898089.171974,2394853503.184713,9821964968.152866,12501616560.50955,12014494904.4586,8524163057.324841,3134768789.808917,3278254777.070064
16,25,659872.6114649682,17153550318.47134,47143434394.90446,14214786624.20382,18507792356.6879,1133757.961783439,25234484076.43312,32109789808.91719,32619758598.72611,6969426.751592357,7117378343.949044,7796984076.433121,72189845222.92993,29150280891.71975,32992742675.15923,35081485987.26115
17,26,0.0,5645222.929936306,5645222.929936306,6623566.878980892,42572611.46496815,12738.85350318471,14221019.10828025,0.0,0.0,13371337.57961783,20625477.70700637,33996815.2866242,289947770.7006369,287578343.9490446,1689808.917197452,2369426.751592357
18,27,15923.56687898089,1951488535.031847,4809310191.082803,54188229936.30573,67069400636.94267,436273248.4076433,-6188092993.630573,8287259235.66879,20143924840.76433,6209554.140127388,56009321019.10828,57922878980.89172,12057194267.51592,17512372611.46497,-6248458598.726114,-5455178343.949044
19,28,892619108.2802547,122761926114.6497,238607668789.8089,50007874522.29299,124130731210.1911,3817342038.21656,162890673885.3503,97320643312.10191,104999898089.172,27972515923.56688,63901822292.99363,94847828025.4777,278394335031.8471,207557710828.0255,42743128025.47771,37857091719.74522
20,31,2370063.694267516,3903900000.0,12472236305.73248,563785350.3184713,914012738.8535032,144823566.8789809,988393630.5732484,3764366878.980892,3934354140.127388,0.0,8383695541.401274,8463501273.88535,4850821656.050955,2209019745.22293,1861971337.579618,2219624203.821656
21,32,16560.50955414013,103652866.2420382,103669426.7515924,102306369.4267516,240391719.7452229,94904.45859872612,199664968.1528662,25477707.00636943,25477707.00636943,80735668.78980891,38182802.5477707,118918471.3375796,422871974.522293,291028662.4203821,79032484.07643312,83334394.9044586
22,33,40764.33121019108,96082165.60509554,107110828.0254777,12841401.27388535,94310828.0254777,65605.09554140127,151512101.910828,0.0,4187898.089171974,0.0,40697452.22929936,45721019.10828026,341356050.955414,327632484.0764331,10463057.32484076,12201910.82802548
23,34,390445.8598726115,802666242.0382165,1048721019.10828,962521019.1082802,1874092993.630573,71337579.61783439,44081528.66242038,102034394.9044586,222507006.3694268,1098117197.452229,1386136305.732484,2656225477.707006,2184076433.121019,1734964331.210191,52375159.23566879,133966242.0382166
24,38,59226751.59235669,974338216.5605096,1097824203.821656,353721656.0509554,888752229.299363,1603184.713375796,810714012.7388535,628131210.1910828,799163694.2675159,0.0,371398089.1719745,376698726.1146497,2680025477.707006,1960884713.375796,386477070.0636942,520096178.343949
25,39,0.0,216505095.5414013,349500636.9426752,1450535031.847134,2423319108.280255,78343.94904458598,1750258598.726115,0.0,0.0,423935031.8471338,596636305.7324841,1022561146.496815,2840623566.878981,2173326114.649682,571409554.1401274,620297452.2292993
26,40,0.0,31529299.36305732,45340127.38853503,243456050.955414,650485987.2611464,6412101.910828025,598603821.6560509,0.0,0.0,0.0,97222292.99363056,97222292.99363056,384030573.2484076,372436305.732484,5953503.184713376,1989171.974522293
27,41,32484.07643312102,553196178.3439491,1593550318.471338,1520956687.898089,3339136305.732484,2547914649.681529,-1430649681.528662,898886624.2038217,1152212738.853503,2637908917.197452,1877519745.22293,5211123566.878981,2434793630.573248,2381042038.21656,-1648094904.458599,-220125477.7070064
28,44,0.0,53098089.17197452,53098089.17197452,29677070.06369426,126671974.522293,21719745.22292994,126456050.955414,10227388.53503185,10227388.53503185,0.0,43086624.20382165,43086624.20382165,276760509.5541401,212753503.1847134,33680891.71974522,39089808.91719745
