,Наименование ДП,"2018, Нематериальные активы","2019, Нематериальные активы","2020, Нематериальные активы","2018, Основные средства ","2019, Основные средства ","2020, Основные средства ","2018, Внеоборотные активы","2019, Внеоборотные активы","2020, Внеоборотные активы","2018, Дебиторская задолженность","2019, Дебиторская задолженность","2020, Дебиторская задолженность","2018, Оборотные активы","2019, Оборотные активы","2020, Оборотные активы","2018, Уставный капитал ","2019, Уставный капитал ","2020, Уставный капитал ","2018, Капитал и резервы","2019, Капитал и резервы","2020, Капитал и резервы","2018, Заёмные средства (долгосрочные)","2019, Заёмные средства (долгосрочные)","2020, Заёмные средства (долгосрочные)","2018, Долгосрочные обязательства","2019, Долгосрочные обязательства","2020, Долгосрочные обязательства","2018, Заёмные средства (краткосрочные)","2019, Заёмные средства (краткосрочные)","2020, Заёмные средства (краткосрочные)","2018, Кредиторская задолженность","2019, Кредиторская задолженность","2020, Кредиторская задолженность","2018, Краткосрочные обязательства","2019, Краткосрочные обязательства","2020, Краткосрочные обязательства","2018, Выручка","2019, Выручка","2020, Выручка","2018, Себестоимость продаж","2019, Себестоимость продаж","2020, Себестоимость продаж","2018, Прибыль (убыток) до налогообложения ","2019, Прибыль (убыток) до налогообложения ","2020, Прибыль (убыток) до налогообложения ","2018, Прибыль (убыток) от продажи","2019, Прибыль (убыток) от продажи","2020, Прибыль (убыток) от продажи"
0,0,9050955.414012738,9885987.261146495,2332484.076433121,2145239490.44586,3606102547.7707,4292051592.356688,2440077707.006369,3737611464.968153,4379873885.350318,3475461146.496815,3692142038.21656,4977054777.070064,6077447770.700637,4981792356.687898,6170107006.369427,629400000.0,629400000.0,629400000.0,2289273885.350318,4865035031.847134,6881321019.10828,0.0,0.0,0.0,271221019.1082802,276483439.4904459,217473885.3503185,392391719.7452229,0.0,0.0,5476906369.426751,3478978343.949044,3333519745.22293,5957030573.248407,3577885350.318471,3451185987.261147,37039522292.99363,32347554140.12739,27947875159.23567,34383128662.42038,26734812101.91083,20583174522.29299,746182802.5477706,3603784076.433121,5586340764.33121,871619108.2802547,3658633757.961783,5971943312.101911
1,2,8694904.458598725,4958598.726114649,18444585.98726115,928738853.5031848,1027507643.312102,1063706369.426751,1018682165.605096,1233413375.796178,1301417834.394904,228049681.5286624,277031210.1910828,371442038.2165605,1590216560.509554,837764968.1528662,753777707.0063694,19644585.98726115,19644585.98726115,19644585.98726115,2378698089.171975,1854768789.808917,1765123566.878981,0.0,0.0,0.0,2843949.044585987,0.0,5629299.363057325,0.0,0.0,0.0,123771337.5796178,115282802.5477707,173147770.7006369,227356687.8980892,216409554.1401274,284442675.1592357,2592420382.165605,2754207643.312102,2583063057.324841,2316724203.821656,2460678980.89172,2519737579.617834,85529936.30573247,-645643949.044586,-113833121.0191083,-92989808.91719744,-120721019.1082803,-355471974.522293
2,4,449044.5859872611,398726.1146496815,347770.7006369426,30089698726.11465,30264612738.8535,32819191082.80255,100154213375.7962,120662075159.2357,125299465605.0955,11246701273.88535,10521138853.50318,18609931210.19108,20771890445.85987,15250298089.17197,24052113375.79618,595541.4012738853,595541.4012738853,595541.4012738853,10544059872.61147,6407566878.980891,37517386624.20382,90432717197.45222,95504385987.26114,88029357324.84076,92237910191.0828,98182435668.7898,90765895541.40128,13562033757.96178,25736810191.0828,14481910828.02548,3855060509.55414,4801099363.057324,6004639490.44586,18144133757.96178,31322370700.63694,21068296815.28662,86119098089.17197,94097654140.12738,96299566878.98088,26525468789.80892,30558275159.23567,32623360509.55414,45936061783.43949,49604078343.94904,141842082165.6051,53075239490.44585,56221224840.76433,57368819108.28025
3,5,22117197.4522293,24894904.45859873,22221019.10828025,35873358598.72611,39420564331.21019,42017635668.78981,36543041401.27389,39925541401.27388,42872390445.85987,6165454777.070064,19020166242.03822,23999804458.59872,44115340127.38853,31309885987.26115,25423777070.06369,1983439.49044586,1983439.49044586,1983439.49044586,63850556050.95541,48905205095.5414,57236184076.43312,4142978980.89172,2237329299.363057,975312738.8535032,6026959872.611465,4169849044.585987,3321966878.980892,3446008280.254777,1503112738.853503,1959623566.878981,7086105732.484076,16405092356.6879,5473999363.057324,10780865605.09554,18160373248.40764,7738016560.509554,46379745859.87261,52539207006.36942,62492997452.22929,14396717834.3949,15606152866.24204,16773621656.05095,34894135031.84713,32952542038.21656,42565363694.26752,30425531847.13376,34805550318.47134,42814828662.42038
4,6,489808.9171974522,441401.2738853503,391719.7452229299,11142412738.8535,12484871974.52229,12282856687.89809,42873052229.29936,33753598726.11465,20239364331.21019,10995872611.46497,8921848407.643312,11932768789.80892,26334457324.84076,16602068789.80892,32360966242.03822,2717197.452229299,2717197.452229299,2717197.452229299,1500636942.675159,810621656.0509554,8976491082.802547,59883778343.94904,40571640764.33121,33805408917.19745,60827592993.63057,41414824203.82166,34825424840.76433,711331210.1910827,1390140127.388535,448028025.477707,5925311464.968153,6442635031.847134,8018418471.33758,6879279617.834394,8130221656.050955,8798414649.681528,75005711464.96815,65814555414.01273,66286513375.79617,49694920382.1656,55555932484.07643,52908792356.6879,12242540127.38853,4937961146.496815,-565550955.4140127,20944695541.40127,5430333121.019108,8212564331.210191
5,7,0.0,0.0,0.0,31544585.98726115,27776433.12101911,24457961.78343949,74730573.24840765,71534394.9044586,69405732.48407643,47075796.17834394,47875159.23566879,29287898.08917197,122335031.8471338,133984076.433121,103885350.3184713,111464.9681528662,111464.9681528662,111464.9681528662,158047770.7006369,160194267.5159236,146515286.6242038,0.0,0.0,0.0,1170063.694267516,737579.6178343949,1267515.923566879,11165605.0955414,13996815.2866242,636.9426751592356,24449681.52866242,28761146.49681529,23868152.86624204,37847770.70063694,44586624.20382165,25508280.25477707,397070063.6942675,331110828.0254777,267527388.5350318,366075796.178344,302210191.0828025,258507006.3694267,8917834.394904459,12585350.31847134,-3733757.961783439,16398726.11464968,16619745.22292994,-1681528.662420382
6,8,0.0,0.0,0.0,436887261.1464968,513924840.7643312,451246496.8152866,438275159.2356688,515273885.3503184,453460509.5541401,110446496.8152866,82609554.14012739,127208280.2547771,281873248.4076433,359727388.5350319,388878343.9490446,170700.6369426752,170700.6369426752,170700.6369426752,412044585.9872611,429540127.388535,520686624.2038217,181376433.1210191,204732484.0764331,193960509.5541401,188318471.3375796,216596815.2866242,205937579.6178344,31847133.75796178,87840127.38853502,27044585.98726115,76364331.21019109,133442038.2165605,78599363.05732484,119785350.3184713,228864331.2101911,115714649.6815287,1031371974.522293,1157608280.254777,1415543312.101911,922115923.5668788,1037101273.88535,1157609554.140127,98444585.98726116,53671974.52229299,145849681.5286624,65754140.12738853,65621656.05095541,196361783.4394904
7,9,11464.96815286624,9554.140127388537,7643.312101910828,31663057.32484076,27977070.06369426,13604458.59872611,31733121.01910828,34759872.61146497,27966242.03821656,123931210.1910828,65626751.59235668,54788535.03184713,226256050.955414,156850318.4713376,80078343.94904459,87898.08917197451,87898.08917197451,87898.08917197451,107647133.7579618,82296178.34394903,43735668.78980891,0.0,0.0,0.0,1495541.401273885,2189171.974522293,233121.0191082802,33610828.02547771,0.0,0.0,114919108.2802548,107061783.4394904,63626114.64968152,148846496.8152866,107124840.7643312,64075796.17834394,339275159.2356688,280462420.3821656,142420382.1656051,289257324.8407643,266484076.433121,159703184.7133758,1393630.573248408,-31038216.56050955,-47857961.78343949,7669426.751592357,-28285987.2611465,-51900000.0
8,12,0.0,0.0,0.0,58159235.6687898,49246496.81528662,49750955.41401274,58635031.84713376,49613375.79617834,50117834.39490446,218949681.5286624,328957961.7834395,316426114.6496815,400156687.8980892,542397452.2292993,580956687.8980892,720382.1656050956,720382.1656050956,720382.1656050956,182270700.6369427,184489808.9171974,186344585.9872611,26114649.68152866,114649044.5859873,117197452.2292994,26501910.82802548,115036305.7324841,117584713.3757962,66878980.89171974,27834394.9044586,0.0,183140127.388535,264650318.4713376,327145222.9299363,250019108.2802548,292484713.3757961,327145222.9299363,694632484.0764331,637400636.9426751,531955414.0127388,669937579.6178343,609470063.6942675,515578343.9490446,6168152.866242038,9601910.828025475,3509554.140127388,24694904.45859873,27930573.24840764,16377070.06369427
9,13,0.0,0.0,0.0,213025477.7070064,212961783.4394904,199982802.5477707,5259647133.757961,4960145859.872611,5586046496.815287,1877126114.649682,1611080254.77707,739163057.3248408,3025082802.547771,2787994904.458599,2932430573.248407,170700.6369426752,170700.6369426752,170700.6369426752,2016145222.929936,2057504458.598726,2186973248.407643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5690907643.312101,5337441401.273885,5402819745.22293,6268584713.375796,5690636305.732484,6331503821.656051,1705433121.019108,2284331847.133758,2004486624.203822,1507584076.433121,1955467515.923567,1624494267.515924,54520382.16560509,54171337.57961784,162437579.6178344,29682802.5477707,159353503.1847134,114150318.4713376
